track_name,is_default,name,length,retired_at
Absolutely Karting - Bristol,1,,,
Absolutely Karting - Maidenhead,1,,,
Adrenalin Quary Kart Track,1,,800,
Alvar Karting & Laser Centre,1,,520,
Ancaster Kart Racing,1,,1200,
Anglia Indoor Kart Racing,1,Multi-Level,,
Anglia Indoor Kart Racing,0,Upstairs,,
Anglia Karting Centre,1,Combined,1030,
Anglia Karting Centre,0,Layout 1,,
Anglia Karting Centre,0,Layout 2,,
Avago Karting,1,,300,
Aviemore Kart Raceway,1,,550,
Bayford Meadows,1,Full Circuit,1100,
Bayford Meadows,0,Club Circuit,600,
Bayford Meadows,0,Junior Circuit,400,
Blackbushe (Camberly Kart Club),1,New Layout,650,
Blackbushe (Camberly Kart Club),0,Original Layout,,
Brentwood Karting,1,,825,
Buckmore Park,1,,1000,
Cannon Raceway,1,,396,
Capital Karts,1,,750,
Carew Karting,1,,500,
Castle Combe Karting,1,,350,
Chequered Flag Karting,1,,700,
Clay Pigeon Kart Raceway,1,,815,
Daytona Milton Keynes,1,International,1200,
Daytona Milton Keynes,0,Junior (North) Circuit,375,
Daytona Sandown Park,1,Grand Prix,900,
Daytona Sandown Park,0,Indy,450,
Daytona Sandown Park,0,Club Circuit,400,
Daytona Tamworth,1,Grand Prix,1000,
Daytona Tamworth,0,Indy,500,
Daytona Tamworth,0,Club Circuit,525,
Eddie Irvine Sports,1,,311,
Elk Motorsport,1,,1200,
Ellough Park Raceway,1,,1000,
Forest Edge Kart Club,1,,1100,
Formula Fast,1,,475,
Formula Kart - Blackpool,1,,750,
Formula Karting,1,,525,
Fulbeck Kart Circuit,1,,950,
G-Force,1,,500,
Grampian Kart Club,1,,850,
Grand Prix Karting - Birmingham Wheels,1,International,1130,
Grand Prix Karting - Birmingham Wheels,0,National,,
GYG Karting,1,,1100,
Herefordshire Raceway,1,,600,
JDR Karting,1,,300,
Karting North East / Warden Law,1,,1200,
Karting North East / Warden Law,0,Family Circuit,850,
Karting North East / Warden Law,0,Junior Circuit,,
Karting York / Tockwith Circuit,1,,700,
Karttrak Cromer,1,,550,
Kimbolton / Hunts Kart Racing Club,1,,1100,
Kinsham Raceway,1,,900,
Knockhill Karting Centre,1,,500,
Kylemore Karting,1,Circuit De Spa-Fransorchamps,360,
Kylemore Karting,0,Circuit De Monte Carlo,340,
Kylemore Karting,0,Circuit De Suzuka,320,
Lakeside Karting,1,,900,
Larkhall Circuit,1,,1140,
Little Rissington,1,Main Circuit,970,
Little Rissington,0,Gearbox Circuit,970,
Lydd Karting,1,,1040,
Mansell Raceway,1,,750,
Mansell Raceway,0,MKRC Circuit,1200,
Midland Karting,1,International,450,
Midland Karting,0,Family Circuit,,
Midland Karting,0,Super Circuit,,
Mr Karting,1,,,
Nottingham Raceway Karting,1,,550,
Nutts Corner Kart Circuit,1,,1000,
P.F. International Kart Circuit,1,,1382,
Parkwood Karting,1,,470,
Premier Karting,1,,370,
Prestige Indoor Karting,1,,,
Red Lodge Karting,1,,1200,
Red Lodge Karting,0,700m,700,
Revolution Karting,1,,550,
Rogue Leisure Karting,1,,350,
Rye House Kart Raceway,1,,950,
ScotKart Glasgow Cambuslang,1,,450,
ScotKart Glasgow Clydebank,1,,400,
Shenington Kart Circuit,1,,1018,
Shenington Kart Circuit,0,Gearbox Circuit,1211,
South Wales Karting Centre,1,,1050,
South West Karting,1,,370,
St. Eval Kart Circuit,1,,1000,
Stretton Circuit,1,,950,
Surbiton Raceway,1,,720,
Sutton Circuit,1,,,
Tattershall Kart Centre,1,,,
TeamSport Acton (West London),1,,500,
TeamSport Basildon,1,,500,
TeamSport Birmingham,1,,1000,
TeamSport Bradford,1,,580,
TeamSport Brighton,1,,450,
TeamSport Bristol,1,,800,
TeamSport Cardiff,1,,500,
TeamSport Coventry,1,,500,
TeamSport Crawley,1,,750,
TeamSport Crawley,0,(Petrol),800,2023-09-06
TeamSport Docklands (East London),1,,800,
TeamSport Dundee,1,,400,
TeamSport Dunstable,1,,500,
TeamSport Edmonton (North London),1,,800,
TeamSport Farnborough,1,,500,
TeamSport Gosport,1,,450,
TeamSport Harlow,1,,500,
TeamSport Hull,1,,400,
TeamSport Leeds,1,,580,
TeamSport Leicester,1,,500,
TeamSport Liverpool,1,,500,
TeamSport Manchester Trafford Park,1,,450,
TeamSport Manchester Victoria,1,,550,
TeamSport Mitcham (South London),1,,400,
TeamSport Newcastle,1,,500,
TeamSport Nottingham,1,,750,
TeamSport Nottingham,0,(Petrol),750,2023-06-27
TeamSport Preston,1,,500,
TeamSport Reading,1,,450,
TeamSport Reading,0,(Petrol),,2023-07-28
TeamSport Sheffield,1,International,950,
TeamSport Sheffield,0,Le Mans,,
TeamSport Southampton / Eastleigh,1,,500,
TeamSport Stockton,1,,500,
TeamSport Stoke,1,,500,
TeamSport Warrington,1,,1000,
TeamSport Watford,1,,500,
Teamworks Karting Birmingham City,1,,,
Teamworks Karting Birmingham West,1,,,
Teamworks Karting East Midlands,1,,,
Teamworks Karting Letchworth,1,,,
Teamworks Karting Northampton,1,,,
Teesside Karting,1,International,1300,
Teesside Karting,0,National,,
Teesside Karting,0,Arrive and Drive,,
Teesside Karting,0,Track Day,,
Three Sisters Race Circuit,1,,1473,
Thruxton Karting Centre,1,Full Circuit,1100,
Thruxton Karting Centre,0,National,900,
Thruxton Karting Centre,0,Club (365m),365,
Thruxton Karting Centre,0,Club (210m),210,
Thruxton Karting Centre,0,Club (146m),146,
Thruxton Karting Centre,0,Club (130m),130,
Top Gear Karting,1,,200,
West Coast Karting,1,,,
West Wales Karting,1,,300,
Whilton Mill,1,International,1200,
Whilton Mill,0,National,960,
Whilton Mill,0,Mill,450,
Wight Karting,1,,520,
Wildtracks,1,,800,
Wombwell Race Circuit,1,,865,
York Motorsports Village,1,,300,
Inverness Kart Raceway,1,,,
GT Karting,1,,,
The Hangar,1,,450,
PMG Karting World,1,,,
