name,address_1,address_2,address_3,town,county,postal_code,lat,lng,type,url,number
Absolutely Karting - Bristol,Chapel Lane,Clay Hill,,Bristol,,BS5 7EY,51.46962633468718,-2.543780765,Indoor,https://absolutely-karting.co.uk,0300 3033548
Absolutely Karting - Maidenhead,The Arena,Stafferton Way,,Maidenhead,,SL6 1AY,51.51847969826827,-0.714094113,Indoor,https://absolutely-karting.co.uk,0300 3033548
Adrenalin Quary Kart Track / Kartworld,Lower Clicker Road,Menheniot,,Liskeard,Cornwall,PL14 3PJ,50.42713941413657,-4.419734165,Outdoor,https://www.adrenalinquarry.co.uk/karting/,01579 308204
Alvar Karting & Laser Centre,Alvar Business Park,Straight Road,,Willenhall,West Midlands,WV12 5QY,52.60314398095076,-2.037918275,Indoor,https://alvarkarting.co.uk/,01922 478310
Ancaster Kart Racing,Wood Lodge,Ancaster,,Grantham,Lincolnshire,NG32 3PY,52.97239022,-0.535089766,Outdoor,https://ancasterleisure.co.uk,01400 230306
Anglia Indoor Kart Racing,12 Farthing Road,Sproughton,,Ipswich,Suffolk,IP1 5AP,52.06770394102076,1.1114036940379795,Indoor,https://angliakarting.com/,01473 240087
Anglia Karting Centre,The Airfield,North Pickenham,,Swaffham,Norfolk,PE37 8LL,52.63025991629126,0.739017745,Outdoor,https://anglia-karting.co.uk/,01760 441777
Avago Karting,Unit A,Swinton Bridge Industrial Estate,White Lee Road,Mexborough,South Yorkshire,S64 8BH,53.48910997629265,-1.304718405,Indoor,https://www.avagokarting.co.uk/,01709 578707
Aviemore Kart Raceway,Granish,,,Aviemore,Inverness-shire,PH22 1QD,57.21006144991151,-3.819919855,Outdoor,https://aviemorekartraceway.co.uk/,01479 812079
Bayford Meadows,Symmonds Drive,Eurolink Industrial Estate,,Sittingbourne,Kent,ME10 3RY,51.34758730689749,0.7457824232633398,Outdoor,https://bayfordmeadows.co.uk/,01795 410707
Blackbushe (Camberly Kart Club),Camberley Kart Club,Blackbushe,,Camberley,Surrey,GU17 9LG,51.32797972,-0.85025706,Outdoor,http://www.camberleykartclub.com/,01252 413490
Brentwood Karting,Warley Gap,,,Brentwood,Essex,CM13 3DP,51.59759492958463,0.29705096823924826,Outdoor,https://brentwood-karting.co.uk/,01277 260001
Buckmore Park,Maidstone Road,,,Chatham,Kent,ME5 9QG,51.34328814415158,0.5018608178847169,Outdoor,https://www.buckmore.co.uk/,01634 201562
Cannon Raceway,Cannon Business Park,Gough Road,,Coseley,West Midlands,WV14 8XR,52.54694302918198,-2.084863179,Indoor,https://www.cannonraceway.co.uk/karting/,01902 565000
Capital Karts,15 Cabot Square,Canary Wharf,,,London,E14 4QS,51.50510691220264,-0.021435387,Indoor,https://www.capitalkarts.com/,020 7100 4412
Carew Karting,Carew Airfield,Sageston,,Tenby,Pembrokeshire,SA70 8SX,51.68950984007473,-4.813869444,Outdoor,https://www.carewkarting.co.uk/,07974 540689
Castle Combe Karting,Castle Combe Circuit,,,Chippenham,Whiltshire,SN14 7BW,51.48650017590745,-2.208947019,Outdoor,https://castlecombekarting.co.uk/,01249 783010
Chequered Flag Karting,Cheapside,Holton le Clay,,Grimsby,Lincolnshire,DN37 0JE,53.49960527647691,-0.071435399,Outdoor,,01472 823823
